Anime,URL,Tags
Quanzhi Gaoshou: Tebie Pian,https://www.anime-planet.com/anime/quanzhi-gaoshou-tebie-pian,
Snow White with the Red Hair 2nd Season,https://www.anime-planet.com/anime/snow-white-with-the-red-hair-2nd-season,
Fate/stay night: Heaven's Feel II. lost butterfly,https://www.anime-planet.com/anime/fate-stay-night-heavens-feel-ii-lost-butterfly,
Gintama: Aizome Kaori-hen,https://www.anime-planet.com/anime/gintama-aizome-kaori-hen,
Hajime no Ippo: Champion Road,https://www.anime-planet.com/anime/hajime-no-ippo-champion-road,
Hell's Paradise: Jigokuraku,https://www.anime-planet.com/anime/hells-paradise-jigokuraku,
Gintama: The Semi-Final,https://www.anime-planet.com/anime/gintama-the-semi-final,
Run with the Wind,https://www.anime-planet.com/anime/run-with-the-wind,
No Game No Life,https://www.anime-planet.com/anime/no-game-no-life,
Pluto,https://www.anime-planet.com/anime/pluto,
Magi: The Kingdom of Magic,https://www.anime-planet.com/anime/magi-the-kingdom-of-magic,
Spice and Wolf II,https://www.anime-planet.com/anime/spice-and-wolf-ii,
Food Wars! Shokugeki no Souma,https://www.anime-planet.com/anime/food-wars-shokugeki-no-souma,
Anohana: The Flower We Saw That Day,https://www.anime-planet.com/anime/anohana-the-flower-we-saw-that-day,
My Neighbor Totoro,https://www.anime-planet.com/anime/my-neighbor-totoro,
Violet Evergarden Special,https://www.anime-planet.com/anime/violet-evergarden-special,
Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://www.anime-planet.com/anime/natsume-yuujinchou-itsuka-yuki-no-hi-ni,
Re:ZERO: Starting Life in Another World Season 2,https://www.anime-planet.com/anime/re-zero-starting-life-in-another-world-season-2,
Ace of the Diamond: Second Season,https://www.anime-planet.com/anime/ace-of-diamond-second-season,
Road of Naruto,https://www.anime-planet.com/anime/road-of-naruto,
Shelter,https://www.anime-planet.com/anime/shelter,
Swallowed Star 4th Season,https://www.anime-planet.com/anime/swallowed-star-4th-season,
Black Butler: Book of Murder,https://www.anime-planet.com/anime/black-butler-book-of-murder,
Haikyuu!! Movie 2: Shousha to Haisha,https://www.anime-planet.com/anime/haikyuu-movie-2-shousha-to-haisha,
Shouwa Genroku Rakugo Shinjuu,https://www.anime-planet.com/anime/shouwa-genroku-rakugo-shinjuu,
Fruits Basket: Prelude,https://www.anime-planet.com/anime/fruits-basket-prelude,
Detective Conan: Episode One - The Great Detective Turned Small,https://www.anime-planet.com/anime/detective-conan-episode-one-the-great-detective-turned-small,
Major Season 6,https://www.anime-planet.com/anime/major-season-6,
Miss Kobayashi's Dragon Maid S,https://www.anime-planet.com/anime/miss-kobayashis-dragon-maid-s,
Chihayafuru 3,https://www.anime-planet.com/anime/chihayafuru-3,
Fairy Tail 2,https://www.anime-planet.com/anime/fairy-tail-2,
Food Wars! The Third Plate: Totsuki Train Arc,https://www.anime-planet.com/anime/food-wars-the-third-plate-totsuki-train-arc,
Yona of the Dawn,https://www.anime-planet.com/anime/yona-of-the-dawn,
Non Non Biyori Nonstop,https://www.anime-planet.com/anime/non-non-biyori-nonstop,
Mushoku Tensei: Jobless Reincarnation,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation,
Naruto Shippuden,https://www.anime-planet.com/anime/naruto-shippuden,
Samurai Champloo,https://www.anime-planet.com/anime/samurai-champloo,
Black Lagoon: The Second Barrage,https://www.anime-planet.com/anime/black-lagoon-the-second-barrage,
Chihayafuru 2,https://www.anime-planet.com/anime/chihayafuru-2,
Scissor Seven 2nd Season,https://www.anime-planet.com/anime/scissor-seven-2nd-season,
Monster,https://www.anime-planet.com/anime/monster,
Major Season 3,https://www.anime-planet.com/anime/major-season-3,
Horimiya: The Missing Pieces,https://www.anime-planet.com/anime/horimiya-the-missing-pieces,
Kuroko's Basketball,https://www.anime-planet.com/anime/kurokos-basketball,
Detective Conan Movie 20: The Darkest Nightmare,https://www.anime-planet.com/anime/detective-conan-movie-20-the-darkest-nightmare,
Grave of the Fireflies,https://www.anime-planet.com/anime/grave-of-the-fireflies,
Evangelion: 2.0 You Can (Not) Advance,https://www.anime-planet.com/anime/evangelion-2-0-you-can-not-advance,
Bungo Stray Dogs Wan!,https://www.anime-planet.com/anime/bungo-stray-dogs-wan,
Black Butler: Book of Circus,https://www.anime-planet.com/anime/black-butler-book-of-circus,
Kingdom 2,https://www.anime-planet.com/anime/kingdom-2,
A Place Further Than the Universe,https://www.anime-planet.com/anime/a-place-further-than-the-universe,
Maid-sama!,https://www.anime-planet.com/anime/maid-sama,
Buddy Daddies,https://www.anime-planet.com/anime/buddy-daddies,
Overlord,https://www.anime-planet.com/anime/overlord,
