Anime,URL,Tags,Alts
mrspepperpot,https://www.anime-planet.com/anime/mrs-pepperpot,"['Fantasy', 'Countryside', 'Episodic', 'Family Friendly', 'Magic', 'Short Episodes', 'Based on a Novel']","
Alt title: Spoon Oba-san
"
taberuhitotachi,https://www.anime-planet.com/anime/taberu-hitotachi,"['Abstract', 'No Dialogue', 'Shorts']","
Alt title: People who are eating
"
keiichiroushibuyahirokiazumainitiation,https://www.anime-planet.com/anime/keiichirou-shibuya-and-hiroki-azuma-initiation,"['Abstract', 'Vocaloid']",
nanorunamonaiboukennosusume,https://www.anime-planet.com/anime/nanoru-na-mo-nai-bouken-no-susume,"['Abstract', 'Black and White']",
queenbohemianrhapsody,https://www.anime-planet.com/anime/queen-bohemian-rhapsody,"['Sci Fi', 'Outer Space']","
Alt title: Bohemian Rhapsody feat. Matsumoto Leiji
"
queensbladerebellion,https://www.anime-planet.com/anime/queens-blade-rebellion,"['Action', 'Ecchi', 'Fantasy', 'Borderline H', 'Explicit Sex']",
miyavifirebird,https://www.anime-planet.com/anime/miyavi-fire-bird,"['Animal Protagonists', 'Birds', 'Non-Human Protagonists', 'CG Animation']",
apfellandmonogatari,https://www.anime-planet.com/anime/apfelland-monogatari,"['Adventure', 'Drama', 'Europe', 'Historical', 'Based on a Novel']","
Alt title: Appleland Story
"
hirookaasako,https://www.anime-planet.com/anime/hirooka-asako,"['Commercials', 'Historical', 'Promotional', 'Short Episodes']","
Alt title: Daido Life CM
"
dendenmushinodankosan,https://www.anime-planet.com/anime/den-den-mushi-no-danko-san,"['Animal Protagonists', 'Family Friendly', 'Minna no Uta', 'Non-Human Protagonists']","
Alt title: Minna no Uta: Den Den Mushi no Danko-san
"
futarizamuraihomarenokawakiri,https://www.anime-planet.com/anime/futari-zamurai-homare-no-kawakiri,"['No Dialogue', 'Samurai', 'Shorts', 'Swordplay']","
Alt title: Two Samurai
"
onipan,https://www.anime-planet.com/anime/onipan,"['Comedy', 'Demons', 'Non-Human Protagonists', 'School Life', 'Transfer Students', 'Original Work']",
