Anime,URL,MAL_ID
Ojamajo Doremi #,https://www.anime-planet.com/anime/ojamajo-doremi-sharp,350
Ojamajo Doremi,https://www.anime-planet.com/anime/ojamajo-doremi,350
Ojamajo Doremi #,https://www.anime-planet.com/anime/ojamajo-doremi-sharp,351
Ojamajo Doremi,https://www.anime-planet.com/anime/ojamajo-doremi,351
Motto! Ojamajo Doremi,https://www.anime-planet.com/anime/motto-ojamajo-doremi,352
Ojamajo Doremi DOKKAAN!,https://www.anime-planet.com/anime/ojamajo-doremi-dokkaan,353
Ultimate Girls,https://www.anime-planet.com/anime/ultimate-girls,354
Shakugan no Shana,https://www.anime-planet.com/anime/shakugan-no-shana,355
Fate/stay night,https://www.anime-planet.com/anime/fate-stay-night,356
Bludgeoning Angel Dokuro-chan,https://www.anime-planet.com/anime/bludgeoning-angel-dokuro-chan,357
"Iriya no Sora, UFO no Natsu",https://www.anime-planet.com/anime/iriya-no-sora-ufo-no-natsu,358
I'll/CKBC,https://www.anime-planet.com/anime/ill-ckbc,359
Legend of Himiko,https://www.anime-planet.com/anime/legend-of-himiko,360
Joker Game: Kuroneko Yoru no Bouken,https://www.anime-planet.com/anime/joker-game-kuroneko-yoru-no-bouken,33129
∞,https://www.anime-planet.com/anime/infinity,33124
Gallery Fake,https://www.anime-planet.com/anime/gallery-fake,364
Fake,https://www.anime-planet.com/anime/fake,365
Akazukin Chacha OVA,https://www.anime-planet.com/anime/akazukin-chacha-ova,367
Boogiepop Phantom,https://www.anime-planet.com/anime/boogiepop-phantom,369
Cardcaptor Sakura,https://www.anime-planet.com/anime/cardcaptor-sakura,371
All Purpose Cultural Cat Girl Nuku Nuku,https://www.anime-planet.com/anime/all-purpose-cultural-cat-girl-nuku-nuku,373
All Purpose Cultural Cat Girl Nuku Nuku Dash!,https://www.anime-planet.com/anime/all-purpose-cultural-cat-girl-nuku-nuku-dash,374
All Purpose Cultural Cat Girl Nuku Nuku TV,https://www.anime-planet.com/anime/all-purpose-cultural-cat-girl-nuku-nuku-tv,375
Re:ZERO: Starting Break Time From Zero,https://www.anime-planet.com/anime/re-zero-starting-break-time-from-zero,33142
eX-Driver the Movie,https://www.anime-planet.com/anime/ex-driver-the-movie,378
Excel Saga,https://www.anime-planet.com/anime/excel-saga,379
eX-Driver,https://www.anime-planet.com/anime/ex-driver,377
Galaxy Angel,https://www.anime-planet.com/anime/galaxy-angel,383
GANTZ,https://www.anime-planet.com/anime/gantz,384
Gilgamesh,https://www.anime-planet.com/anime/gilgamesh,385
H2,https://www.anime-planet.com/anime/h2,386
Haibane Renmei,https://www.anime-planet.com/anime/haibane-renmei,387
Capeta,https://www.anime-planet.com/anime/capeta,388
Karas,https://www.anime-planet.com/anime/karas,389
Suzuka,https://www.anime-planet.com/anime/suzuka,390
