Anime,URL,Tags,Alts,id
86: Eighty-Six - Part II,https://www.anime-planet.com/anime/86-eighty-six-part-ii,"['Action', 'Drama', 'Sci Fi', 'Military', 'War', 'Violence', 'Based on a Light Novel']","
Alt title: 86: Eighty-Six - Dai 2 Cour
",48569
86: Eighty-Six - Part II Recaps,https://www.anime-planet.com/anime/86-eighty-six-part-ii-recaps,"['Action', 'Drama', 'Sci Fi', 'Military', 'Recap', 'War', 'Based on a Light Novel']","
Alt title: 86: Eighty-Six - Dai 2 Cour Recaps
",50475
86: Eighty-Six - Coquelicots Blooming Across the Battlefield,https://www.anime-planet.com/anime/86-eighty-six-coquelicots-blooming-across-the-battlefield,"['Action', 'Drama', 'Sci Fi', 'Military', 'Recap', 'War', 'Based on a Light Novel']","
Alt title: 86: Eighty-Six Special Edition - Senya ni Akaku Hinageshi no Saku
",49235
91 Days,https://www.anime-planet.com/anime/91-days,"['Action', 'Drama', 'America', 'Animeism', 'Crime', 'Criminals', 'Death of a Loved One', 'Gangs', 'Guns', 'Historical', 'Mafia', 'Orphans', 'Revenge', 'Thriller', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Content', 'Original Work']",,32998
91daysbriefcandle,https://www.anime-planet.com/anime/91-days-brief-candle,"['Drama', 'Animeism', 'Gangs', 'Historical', 'Mafia', 'Recap', 'Revenge', 'Explicit Violence', 'Sexual Content', 'Original Work']","
Alt title: 91 Days: Mijikai Rousoku
",33964
91 Days Special,https://www.anime-planet.com/anime/91-days-special,"['Drama', 'America', 'Gangs', 'Guns', 'Historical', 'Mafia', 'Revenge', 'Thriller', 'Original Work']",,34777
91daze,https://www.anime-planet.com/anime/91-daze,"['Comedy', 'Chibi']",,36756
_summer,https://www.anime-planet.com/anime/summer,"['Comedy', 'Harem', 'Romance', 'Slice of Life', 'Based on an Eroge', 'Based on a Visual Novel']","
Alt title: Underbar Summer
",1692
_summer Specials,https://www.anime-planet.com/anime/summer-specials,"['Comedy', 'Harem', 'Romance', 'Based on an Eroge', 'Based on a Visual Novel']","
Alt title: Underbar Summer Specials
",4827
apieceofphantasmagoria,https://www.anime-planet.com/anime/a-piece-of-phantasmagoria,"['Fantasy', 'Short Episodes', 'Based on a Manga']",,6094
Tea Pets,https://www.anime-planet.com/anime/tea-pets,"['Adventure', 'Comedy', 'Chinese Animation', 'CG Animation']","
Alt title: A Tang Qi Yu
",37180
A-Channel,https://www.anime-planet.com/anime/a-channel,"['Comedy', 'Seinen', 'Slice of Life', 'Iyashikei', 'School Life', 'Based on a 4-Koma Manga', 'Based on a Manga']",,9776
A-Channel + smile,https://www.anime-planet.com/anime/a-channel-plus-smile,"['Comedy', 'Seinen', 'Slice of Life', 'Based on a Manga']",,11339
+A-Channel,https://www.anime-planet.com/anime/a-channel-specials,"['Comedy', 'Seinen', 'Slice of Life', 'Based on a Manga']",,10737
agirl,https://www.anime-planet.com/anime/a-girl,"['Romance', 'Shoujo', 'Music', 'No Dialogue', 'Based on a Manga']",,5447
projectakouncivilwars,https://www.anime-planet.com/anime/project-a-ko-uncivil-wars,"['Action', 'Comedy', 'Sci Fi', 'Superpowers', 'Original Work']","
Alt title: Project A-ko VS.
",1295
adpolice,https://www.anime-planet.com/anime/ad-police,"['Action', 'Sci Fi', 'Androids', 'Cyberpunk', 'Cyborgs', 'Police', 'Power Suits', 'Robots', 'Original Work']",,1349
A.I.C.O. Incarnation,https://www.anime-planet.com/anime/aico-incarnation,"['Action', 'Mecha', 'Sci Fi', 'Human Experimentation', 'Monsters', 'Power Suits', 'Violence', 'Original Work']",,36039
A3! Season Autumn & Winter,https://www.anime-planet.com/anime/a3-season-autumn-and-winter,"['Drama', 'Acting', 'Boarding House', 'Debt', 'Showbiz', 'Based on a Mobile Game']",,40272
A3! Season Spring & Summer,https://www.anime-planet.com/anime/a3-season-spring-and-summer,"['Comedy', 'Drama', 'Acting', 'Boarding House', 'Debt', 'Inheritance', 'Showbiz', 'Based on a Mobile Game']",,39184
aaharimanada,https://www.anime-planet.com/anime/aa-harimanada,"['Action', 'Seinen', 'Sports', 'Hand to Hand Combat', 'Sumo Wrestling', 'Tournaments', 'Wrestling', 'Based on a Manga']",,8216
Ah! My Goddess,https://www.anime-planet.com/anime/ah-my-goddess,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Contemporary Fantasy', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Sudden Girlfriend Appearance', 'Based on a Manga']","
Alt title: Ah! Megami-sama
",49
Ah! My Goddess (2011),https://www.anime-planet.com/anime/ah-my-goddess-2011,"['Comedy', 'Seinen', 'Amusement Park', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']",,9611
Ah! My Goddess TV,https://www.anime-planet.com/anime/ah-my-goddess-tv,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Contemporary Fantasy', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Sudden Girlfriend Appearance', 'Based on a Manga']","
Alt title: Ah! Megami-sama! (2005)
",50
