Anime,URL,Tags,Alts,MAL_ID
KonoSuba – God's blessing on this wonderful world! 2,https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-2,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Demons', 'Gag', 'Game Elements', 'Gods', 'Guilds', 'Isekai', 'NEET', 'Non-Human Protagonists', 'Parody', 'Person in a Strange World', 'Based on a Light Novel']",['Kono Subarashii Sekai ni Shukufuku wo! 2'],32937
SPY x FAMILY,https://www.anime-planet.com/anime/spy-x-family,"['Action', 'Comedy', 'Shounen', 'Assassins', 'Espionage', 'Family Life', 'Psychic Powers', 'Secret Identity', 'Based on a Manga']",[''],50265
Fullmetal Alchemist,https://www.anime-planet.com/anime/fullmetal-alchemist,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Death of a Loved One', 'Military', 'Siblings', 'Animal Abuse', 'Mature Themes', 'Violence', 'Based on a Manga', 'Domestic Abuse']",['Hagane no Renkinjutsushi'],121
Kakegurui,https://www.anime-planet.com/anime/kakegurui,"['Ecchi', 'Shounen', 'Gambling', 'High Stakes Games', 'Mind Games', 'Psychological', 'School Life', 'Bullying', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Based on a Manga']",[''],34933
Vinland Saga,https://www.anime-planet.com/anime/vinland-saga,"['Action', 'Seinen', '11th Century', 'Death of a Loved One', 'England', 'Europe', 'Historical', 'Medieval', 'Revenge', 'Swordplay', 'War', 'Weak to Strong', 'Violence', 'Based on a Manga']",[''],37521
Noragami Aragoto,https://www.anime-planet.com/anime/noragami-aragoto,"['Action', 'Drama', 'Shounen', 'Contemporary Fantasy', 'Ghosts', 'Gods', 'Japanese Mythology', 'Non-Human Protagonists', 'Supernatural', 'Urban Fantasy', 'Violence', 'Based on a Manga']",[''],30503
My Teen Romantic Comedy SNAFU,https://www.anime-planet.com/anime/my-teen-romantic-comedy-snafu,"['Comedy', 'Drama', 'Romance', 'Seinen', 'Coming of Age', 'School Club', 'School Life', 'Based on a Light Novel']","['Oregairu', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.']",14813
High School DxD,https://www.anime-planet.com/anime/high-school-dxd,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Shounen', 'Contemporary Fantasy', 'Demons', 'Newly Co-ed School', 'School Life', 'Nudity', 'Sexual Content', 'Based on a Light Novel']",[''],11617
Chainsaw Man,https://www.anime-planet.com/anime/chainsaw-man,"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Demons', 'Urban Fantasy', 'Explicit Violence', 'Based on a Manga']",[''],44511
Haikyuu!! Second Season,https://www.anime-planet.com/anime/haikyuu-second-season,"['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[''],28891
Clannad,https://www.anime-planet.com/anime/clannad,"['Comedy', 'Drama', 'Harem', 'Romance', 'Delinquents', 'Romantic Comedy', 'School Club', 'School Life', 'Based on a Visual Novel']",[''],2167
That Time I Got Reincarnated as a Slime,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Cheats', 'Demons', 'Game Elements', 'Isekai', 'Kingdom Building', 'Magic', 'Management', 'Modern Knowledge', 'Monsters', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Person in a Strange World', 'Political', 'Reincarnation', 'Slimes', 'Violence', 'Based on a Manga']",['Tensei Shitara Slime Datta Ken'],37430
Durarara!!,https://www.anime-planet.com/anime/durarara,"['Action', 'Gangs', 'Noir', 'Social Media', 'Supernatural', 'Mature Themes', 'Suicide', 'Violence', 'Based on a Light Novel']",[''],6746
Bakemonogatari,https://www.anime-planet.com/anime/bakemonogatari,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Mystery', 'Romance', 'Supernatural', 'Tsundere', 'Explicit Violence', 'Nudity', 'Based on a Light Novel']",[''],5081
Bungo Stray Dogs,https://www.anime-planet.com/anime/bungo-stray-dogs,"['Action', 'Comedy', 'Mystery', 'Seinen', 'Detectives', 'Gangs', 'Guns', 'Mafia', 'Orphans', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga', 'Domestic Abuse']",[''],31478
Hyouka,https://www.anime-planet.com/anime/hyouka,"['Drama', 'Mystery', 'Shounen', 'School Club', 'School Life', 'Based on a Novel']",[''],12189
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,"['Action', 'Adventure', 'Shounen', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Supernatural', 'Swordplay', 'Explicit Violence', 'Based on a Manga']",['Kimetsu no Yaiba: Yuukaku-hen'],47778
Made in Abyss,https://www.anime-planet.com/anime/made-in-abyss,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Child Protagonists', 'Curse', 'Dark Fantasy', 'Melancholy', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Explicit Violence', 'Based on a Manga']",[''],34599
"Love, Chunibyo & Other Delusions!",https://www.anime-planet.com/anime/love-chunibyo-and-other-delusions,"['Comedy', 'Drama', 'Romance', 'School Life', 'Based on a Light Novel']",['Chuunibyou Demo Koi ga Shitai!'],14741
Horimiya,https://www.anime-planet.com/anime/horimiya,"['Comedy', 'Romance', 'Shounen', 'Romantic Comedy', 'School Life', 'Based on a Manga']",[''],42897
Seraph of the End,https://www.anime-planet.com/anime/seraph-of-the-end,"['Action', 'Drama', 'Horror', 'Shounen', 'Demons', 'Human Livestock', 'Orphans', 'Pandemic', 'Post-apocalyptic', 'Supernatural', 'Vampires', 'Violence', 'Based on a Manga']","['Owari no Seraph', 'Seraph of the End: Vampire Reign']",26243
Howl's Moving Castle,https://www.anime-planet.com/anime/howls-moving-castle,"['Adventure', 'Fantasy', 'Romance', 'Curse', 'Family Friendly', 'Lifestyle Change', 'Magic', 'Witches', 'Based on a Novel']",['Howl no Ugoku Shiro'],431
Fire Force,https://www.anime-planet.com/anime/fire-force,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Shounen', 'Elemental Powers', 'Firefighters', 'Orphans', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga']",['Enn Enn no Shouboutai'],38671
Puella Magi Madoka Magica,https://www.anime-planet.com/anime/puella-magi-madoka-magica,"['Fantasy', 'Magical Girl', 'Contemporary Fantasy', 'Dark Fantasy', 'Magic', 'Melancholy', 'Psychological', 'School Life', 'Thriller', 'Transfer Students', 'Urban Fantasy', 'Mature Themes', 'Suicide', 'Original Work']",['Mahou Shoujo Madoka Magica'],9756
Mushoku Tensei: Jobless Reincarnation,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation,"['Action', 'Adventure', 'Fantasy', 'Seinen', 'Demons', 'Isekai', 'Magic', 'NEET', 'Person in a Strange World', 'Reincarnation', 'Bullying', 'Mature Themes', 'Sexual Content', 'Violence', 'Based on a Light Novel']",['Mushoku Tensei: Isekai Ittara Honki Dasu'],39535
The Pet Girl of Sakurasou,https://www.anime-planet.com/anime/the-pet-girl-of-sakurasou,"['Comedy', 'Drama', 'Romance', 'Boarding House', 'Boarding School', 'Neighbors', 'Romantic Comedy', 'School Life', 'Based on a Light Novel']",['Sakurasou no Pet na Kanojo'],13759
Maid-sama!,https://www.anime-planet.com/anime/maid-sama,"['Comedy', 'Romance', 'Shoujo', 'Maids', 'Newly Co-ed School', 'Romantic Comedy', 'School Life', 'Tsundere', 'Based on a Manga']",['Kaichou wa Maid-sama!'],7054
